tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_cell_type
Lung,3,0.5,"CD22,BANK1,SP140,BLK,CD79A",B,B cell,CL:0000236,B cell
Lung,3,0.5,"PERP,KRT15,KRT5,DST,KRT17",Basal,basal cell,CL:0000646,basal cell
Lung,3,0.5,"VCAN,S100A12,CSF3R,METTL9,CD99",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
Lung,3,0.5,"BCL11B,CD6,MAL,ITK,MALAT1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
Lung,3,0.5,"C20orf85,RSPH1,FAM92B,CDHR3,FANK1",Ciliated,ciliated cell,CL:0000064,goblet cell
Lung,3,0.5,"HLA-DQA1,FPR3,CLEC10A,GPR183,MS4A6A",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
Lung,3,0.5,"FBLN1,ABLIM1,DCN,C1R,CFD",Fibroblast,fibroblast,CL:0000057,fibroblast
Lung,3,0.5,"TFPI,PKHD1L1,PROX1,PPFIBP1,IGFBP7",Lymphatic,,,Unidentified lung cell type
Lung,3,0.5,"APOC1,VSIG4,C1QB,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage
Lung,3,0.5,"FCGR3A,NKG7,CD247,SPON2,PYHIN1",Natural Killer,natural killer cell,CL:0000623,nonclassical monocyte
Lung,3,0.5,"SSR4,MANF,MZB1,POU2AF1,PRDX4",Plasma,plasma cell,CL:0000786,plasma cell
Lung,3,0.5,"SFTPA2,SLC34A2,LAMP3,ABCA3,SFTPC",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial cell type II
Lung,3,0.5,"CPA3,VWA5A,GATA2,CD44,GRAP2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,3,0.5,"AIF1,IFITM2,LST1,COTL1,FCN1",CD16+ Monocyte,,,nonclassical monocyte
Lung,3,0.5,"NOSTRIN,CD81,FLNB,BTNL9,CDH5",Capillary,,,endothelial cell
Lung,3,0.5,"GZMH,GZMA,CCL5,RPS27,CD3D",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,cytotoxic T cell
Lung,3,0.5,"CEACAM6,PIGR,C16orf89,KIAA1324,CTSE",Club,club cell,CL:0000158,goblet cell
Lung,3,0.5,"LTBP1,BGN,ITGBL1,COL1A2,ASPN",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
Lung,3,0.5,"NPC2,IRF4,IRF7,PLD4,GZMB",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,cd8+ mem/eff t cell
Lung,3,0.5,"STMN1,TPX2,H2AFZ,ANLN,NUSAP1",Proliferating Macrophage,,,unidentified/proliferative cell cycle-related cell type
Lung,3,0.5,"H2AFV,KIF2C,AURKB,UBE2C,CENPF",Proliferating NK/T,,,pulmonary alveolar type 2 cell
Lung,3,0.5,"COL15A1,SPRY1,ZNF385D,EMCN,INHBB",Bronchial Vessel,,,lipofibroblast
Lung,3,0.5,"SAA1,MUC5B,MSMB,SCGB3A1,WFDC2",Mucous,,,club cell
Lung,3,0.5,"PRSS23,CPE,PLA1A,SELP,PTPRB",Vein,,,megakaryocyte
Lung,3,0.5,"LAMC3,LAMB1,COL4A2,CHN1,CALD1",Pericyte,pericyte,CL:0000669,fibroblast
Lung,3,0.5,"PLN,CNN1,CSRP1,MYL9,DES",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,3,0.5,"PTPRB,EPAS1,HEY1,BMX,FBLN5",Artery,,,endothelial cell
Lung,3,0.5,"APP,EMCN,EDNRB,CLDN5,CYP3A5",Capillary Aerocyte,,,endothelial cell
Lung,3,0.5,"GALNT18,IPO7,EPAS1,SRSF11,WWTR1",Capillary Intermediate,,,Not Identified
Lung,3,0.5,"FGF7,CPXM1,CCDC71L,MEDAG,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,lipofibroblast
Lung,3,0.5,"SLPI,DMKN,GALNT9,WT1,PRG4",Mesothelial,mesothelial cell,CL:0000077,mixture of cell types
Lung,3,0.5,"TMEM40,PF4,CABP5,TUBB1,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",megakaryocyte
Lung,3,0.5,"CEBPB,GNLY,S100A6,CCL5,CTSW",Natural Killer T,,,mixture of immune-related cells
Lung,3,0.5,"CLU,CSRP1,MET,FAM150A,IGF1",Fibromyocyte,,,fibroblast
Lung,3,0.5,"S100P,CLIC1,FAM3D,AGR2,COX5A",Goblet,goblet cell,CL:0000160,secretory epithelial cells
Lung,3,0.5,"PHGR1,HEPACAM2,FOXI1,MFSD6L,ATP6V1B1",Ionocyte,ionocyte,CL:0005006,cell type not in database
Lung,3,0.5,"SEC11C,CPE,PCSK1N,BEX1,PRDX2",Neuroendocrine,neuroendocrine cell,CL:0000165,Neuroendocrine Cell
Lung,3,0.5,"PHB,LYZ,PRH2,PRB4,PRB3",Serous,serous secreting cell,CL:0000313,glandular epithelial cell
Lung,3,0.5,"CTSZ,C1QB,FCER1G,C1QC,HLA-DRB1",Macrophages,macrophage,CL:0000235,macrophage
Lung,3,0.5,"CTSW,CCL4,PRF1,CCL5,GZMB",Innate lymphoid cell NK,natural killer cell,CL:0000623,cytotoxic T cell
Lung,3,0.5,"S100A14,MUC1,PEBP4,SFTA2,SLC34A2",AT2,type II pneumocyte,CL:0002063,alveolar type II cells
Lung,3,0.5,"ACKR1,MGP,CLEC14A,RAMP2,VWF",EC venous,vein endothelial cell,CL:0002543,endothelial cell
Lung,3,0.5,"CORO1A,CD3D,CCL5,CD2,CD69",T cell lineage,T cell,CL:0000084,T-cell
Lung,3,0.5,"TM4SF1,CRIP2,CLDN5,CLEC14A,SOX17",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell
Lung,3,0.5,"C1S,LUM,CALD1,BGN,DCN",Fibroblasts,fibroblast,CL:0000057,stromal cell
Lung,3,0.5,"AGER,EMP2,TSPAN13,HOPX,SFTA2",AT1,type I pneumocyte,CL:0002062,alveolar type I cell
Lung,3,0.5,"CD24,C11orf97,C12orf75,TMEM231,RP11-356K23.1",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,goblet cell
Lung,3,0.5,"CORO1A,ISG20,CD37,IGKC,CD79A",B cell lineage,B cell,CL:0000236,natural killer t cell
Lung,3,0.5,"CXCL17,PIGR,TACSTD2,CP,MUC1",Secretory,secretory cell,CL:0000151,pulmonary alveolar type 2 cell
Lung,3,0.5,"AIF1,LST1,VCAN,CD14,S100A8",Monocytes,monocyte,CL:0000576,monocyte
Lung,3,0.5,"CCL28,SELM,AZGP1,LTF,SEC11C",Submucosal Secretory,,,goblet cell
Lung,3,0.5,"CLEC14A,CLDN5,CDH5,AQP1,IFI27",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,3,0.5,"GNG11,CLDN5,CCL21,RAMP2,MMRN1",Lymphatic EC mature,,,endothelial cell
Lung,3,0.5,"AKAP12,CLDN5,TIMP3,CCL21,TFPI",Lymphatic EC differentiating,,,not_found
Lung,3,0.5,"HLA-DQB1,HLA-DMA,HLA-DRB1,HLA-DQA1,GPR183",Dendritic cells,dendritic cell,CL:0000451,antigen-presenting cell
Lung,3,0.5,"IGFBP5,CYR61,CALD1,TPM2,MT1X",Myofibroblasts,myofibroblast cell,CL:0000186,fibroblast
Lung,3,0.5,"HPGDS,KIT,TPSAB1,CPA3,RGS13",Mast cells,mast cell,CL:0000097,mast cell
Lung,3,0.5,"TPM2,IGFBP7,LMOD1,SELM,FLNA",Fibromyocytes,,,fibroblast
Lung,3,0.5,"EID1,COX20,HMGN1,TUBB,MARCKS",Lymphatic EC proliferating,,,goblet cell
Lung,3,0.5,"ST6GALNAC3,LDB2,KALRN,FBXL7,PPFIBP1",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Ciliated cells
Lung,3,0.5,"NCKAP5,KHDRBS2,RAB11FIP1,LMO7,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
Lung,3,0.5,"ABCA3,SFTPB,AUTS2,ERBB4,MACROD2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar epithelial type II cell
Lung,3,0.5,"EYA2,TP63,GLIS3,KRT17,SSBP2",Epithelial cell (basal),basal cell,CL:0000646,basal cell
Lung,3,0.5,"HYDIN,CFAP54,DNAH7,CDHR3,DNAH12",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,ciliated epithelial cell
Lung,3,0.5,"MACROD2,SCGB3A2,SFTPB,CDK14,BMPR1B",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,3,0.5,"PLCG2,FBXW7,RALGPS2,CREB3L2,FCHSD2",Immune (B cell),B cell,CL:0000236,Club cell
Lung,3,0.5,"FYN,SKAP1,PARP8,PIP4K2A,KLRD1",Immune (NK cell),natural killer cell,CL:0000623,cd4+ mem/eff cell
Lung,3,0.5,"PARP8,BCL2,SYTL3,FYN,FKBP5",Immune (T cell),T cell,CL:0000084,unidentified cell type
Lung,3,0.5,"RNF149,GPCPD1,PPARG,SLC11A1,FMNL2",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,pulmonary alveolar type 2 cell
Lung,3,0.5,"IL18R1,ARHGAP15,SLC24A3,TPSB2,SRGN",Immune (mast cell),mast cell,CL:0000097,mast cell
Lung,3,0.5,"TPM1,PRKG1,ACTA2,EBF1,CALD1",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
Lung,3,0.5,"PTPRM,CALCRL,TCF4,PTPRB,ST6GALNAC3",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,fibroblast
Lung,3,0.5,"ROBO2,PLXDC2,RBMS3,SLIT2,PRKG1",Fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
Lung,3,0.5,"ZEB2,TBXAS1,CTSB,PLXDC2,CHST11",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",fibroblast
Lung,3,0.5,"PPARG,ACSL1,PLIN1,LPIN1,G0S2",Adipocyte,fat cell,CL:0000136,adipocyte
Lung,3,0.5,"AGER,PDPN",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar type I cell
Lung,3,0.5,"SFTPC,SFTPB",Alveolar Type II,type II pneumocyte,CL:0002063,alveolar type II cell
Lung,3,0.5,"FAS,CR2",B cell_memory,memory B cell,CL:0000787,capillary endothelial cell
Lung,3,0.5,"HYDIN,FOXJ1,DNAI1,DNAH5",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
Lung,3,0.5,"SCGB3A1,BPIFA1,MUC5B",Club Epithelial,club cell,CL:0000158,goblet cell
Lung,3,0.5,"NEGR1,HGF,IL6,IGFBP5,FBN1,IL33,SLIT2,FBLN1,COL1A2,COL6A6,COL6A1,COL5A2",Fibroblast,fibroblast,CL:0000057,fibroblast
Lung,3,0.5,"RELN,CCL21,PROX1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,Answer is not necessary to be in the Database
Lung,3,0.5,"CD68,PTPRC,RBPJ,CD36,MS4A6A,MR1,MRC1,MS4A4A,CPM,CD163",Macrophage,macrophage,CL:0000235,macrophage
Lung,3,0.5,"FCER1A,TPSAB1,KIT",Mast Cell,mast cell,CL:0000097,mast cell
Lung,3,0.5,"CSPG4,ANPEP,ACTA2,DES",Pericyte,pericyte,CL:0000669,pericyte
Lung,3,0.5,"MYOCD,MYL9,PALLD,GUCY1B3,GUCY1A3,TAGLN,VCL",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,3,0.5,"TRAC,PTPRC,TRBC1,IL7R,SKAP1,CD69",T cell,T cell,CL:0000084,cd8+ mem/eff t cell
Lung,3,0.5,"NOSTRIN,CD300LG,LDB2,RAMP3,VWF",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,capillary endothelial cell
Lung,3,0.5,"NAPSA,SFTPA2,MUC1,PGC,SFTPB",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar epithelial type II cell
Lung,3,0.5,"MTND5P32,CXCR2,OLAH,MGAM,PROK2",neutrophil,neutrophil,CL:0000775,goblet cell
Lung,3,0.5,"TRAC,IL32,CD2,TRBC2,CXCR4","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,cd8+ mem/eff t cell
Lung,3,0.5,"CCL4,CCL5,NKG7,GZMA,CD2","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,cd8+ mem/eff t cell
Lung,3,0.5,"CST7,KLRF1,FGFBP2,GNLY,KLRB1",nk cell,natural killer cell,CL:0000623,natural killer t cell
Lung,3,0.5,"CCL14,SELE,RBP5,ZNF385D,NEURL1B",bronchial vessel endothelial cell,,,None
Lung,3,0.5,"ADRA2C,MYH11,HSPB6,ACTG2,FOXC2",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,3,0.5,"MFAP5,MFAP4,FBLN1,PLA2G2A,MGP",adventitial cell,adventitial cell,CL:0002503,fibroblast
Lung,3,0.5,"C1QA,APOE,VSIG4,FABP4,APOC1",macrophage,macrophage,CL:0000235,alveolar macrophage
Lung,3,0.5,"MS4A2,KIT,CPA3,GATA2,VWA5A",basophil,basophil,CL:0000767,mast cell
Lung,3,0.5,"FCN1,S100A12,FGL2,COTL1,VSIR",classical monocyte,classical monocyte,CL:0000860,monocyte
Lung,3,0.5,"DKK2,PTPRB,GJA5,SERPINE2,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell of artery
Lung,3,0.5,"PIFO,C11orf88,C1orf194,TSPAN1,C9orf24",lung ciliated cell,lung ciliated cell,CL:1000271,Clara cells
Lung,3,0.5,"FCGR2B,GPR183,CLEC10A,CLEC5A,CST7",dendritic cell,dendritic cell,CL:0000451,eosinophil
Lung,3,0.5,"SERPINB3,CP,TFF3,SCGB1A1,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell
Lung,3,0.5,"PERP,MIR205HG,ALDH3A1,IGFBP2,KRT19",basal cell,basal cell,CL:0000646,basal epithelial cell
Lung,3,0.5,"IGHG4,IGHA2,CD79A,TNFRSF17,IGHG2",plasma cell,plasma cell,CL:0000786,plasma cell
Lung,3,0.5,"LINC01781,CD79A,MS4A1,IGHM,VPREB3",b cell,B cell,CL:0000236,B cell
Lung,3,0.5,"PRR4,PRB1,SLC5A1,TTYH1,PRB3",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
Lung,3,0.5,"LST1,AIF1,HCLS1,FCGR3A,CD163",non-classical monocyte,non-classical monocyte,CL:0000875,nonclassical monocyte
Lung,3,0.5,"MT1M,TIMP3,FAM107A,LRRC32,SLC6A4",capillary endothelial cell,capillary endothelial cell,CL:0002144,not_identifiable
Lung,3,0.5,"SPARCL1,RAMP2,CA4,CLDN5,IL1RL1",capillary aerocyte,,,lung endothelial cell
Lung,3,0.5,"RTKN2,UPK3B,NCKAP5,PKDCC,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Neuroendocrine cells
Lung,3,0.5,"LIFR,ACKR1,IGFBP7,RAMP3,PRSS23",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
Lung,3,0.5,"DCN,MFAP4,RARRES2,C1S,PTGDS",alveolar fibroblast,,,fibroblast
Lung,3,0.5,"SCN3B,SEMA3D,PROX1,GPR182,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cells
Lung,3,0.5,"ACTG2,CRYAB,PLAC9,CNN1,PPP1R14A",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
Lung,3,0.5,"LAMP5,FAM129C,LILRA4,SCT,PLD4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,neuroendocrine cell
Lung,3,0.5,"PIGR,GPRC5A,CEACAM6,SFTPB,FOLR1",club cell,club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,3,0.5,"CLDN5,C7,SPARCL1,NPDC1,VWF",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,unidentified cell type
Lung,3,0.5,"PDGFRB,C2orf40,COX4I2,PPP1R14A,CCN5",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,pericyte
Lung,3,0.5,"LRRC38,PLPPR4,AC005821.1,SYT4,MKRN9P",myofibroblast cell,myofibroblast cell,CL:0000186,Pulmonary Neuroendocrine Cells
Lung,3,0.5,"NDUFA4L2,BGN,HIGD1B,RGN,COX4I2",pericyte cell,pericyte,CL:0000669,endothelial cell
Lung,3,0.5,"CPB1,BCHE,ITLN1,VIPR2,ROR2",mesothelial cell,mesothelial cell,CL:0000077,club cell
Lung,3,0.5,"SGIP1,AL135910.1,CARMN,BMP5,SCN7A",fibroblast,fibroblast,CL:0000057,No matching cell type
Lung,3,0.5,"CD300E,MPEG1,FGL2,AIF1,FCN1",intermediate monocyte,intermediate monocyte,CL:0002393,monocyte
Lung,3,0.5,"ASCL3,LINC01187,CLCNKB,ATP6V1G3,TMPRSS11E",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,ciliated cell
Lung,3,0.75,"SPOCK2,LAMA3,GPRC5A,LMO7,DST,ARHGEF26,EMP2",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary epithelial cell
Lung,3,0.75,"BLK,VPREB3,CD79A,BANK1,CD79B,LINC00926,CD22",B,B cell,CL:0000236,B cell
Lung,3,0.75,"ITGA2,CLDN1,DST,S100A2,KRT19,FHL2,KRT5",Basal,basal cell,CL:0000646,basal epithelial cell
Lung,3,0.75,"VCAN,CTSS,S100A9,CSF3R,FCN1,CD300E,S100A12",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,nonclassical monocyte
Lung,3,0.75,"CD2,MAL,CD6,ITK,MALAT1,BCL11B,IL7R",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
Lung,3,0.75,"CDHR3,ZMYND10,C20orf85,SNTN,CAPS,FANK1,FAM92B",Ciliated,ciliated cell,CL:0000064,goblet cell
Lung,3,0.75,"FPR3,RGS1,GPR183,FCGR2B,HLA-DMB,HLA-DPB1,CSF2RA",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
Lung,3,0.75,"LUM,SLIT2,ADH1B,C3,C1R,CFD,DCN",Fibroblast,fibroblast,CL:0000057,pulmonary fibroblast
Lung,3,0.75,"TFF3,TIMP3,PPFIBP1,IGFBP7,MMRN1,TFPI,PKHD1L1",Lymphatic,,,goblet cell
Lung,3,0.75,"C1QB,APOC1,ITGAX,GPD1,OLR1,MARCO,ACP5",Macrophage,macrophage,CL:0000235,nonclassical monocyte
Lung,3,0.75,"CD247,PRF1,SPON2,FCGR3A,GZMB,PYHIN1,NKG7",Natural Killer,natural killer cell,CL:0000623,cd8+ mem/eff t cell
Lung,3,0.75,"TNFRSF17,MZB1,PRDX4,HSP90B1,XBP1,SEC11C,POU2AF1",Plasma,plasma cell,CL:0000786,plasma cell
Lung,3,0.75,"SFTPB,SFTPD,ABCA3,LAMP3,SLC34A2,LPCAT1,NAPSA",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II pneumocyte
Lung,3,0.75,"KIT,VWA5A,CD44,TPSAB1,HDC,HPGDS,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,3,0.75,"LST1,RHOC,SAT1,AIF1,LILRB2,COTL1,RPS19",CD16+ Monocyte,,,nonclassical monocyte
Lung,3,0.75,"CDC42EP1,BTNL9,FLNB,RAMP3,EPAS1,CD81,FCN3",Capillary,,,unidentified
Lung,3,0.75,"CD3D,CD3G,GZMA,NKG7,CCL5,CD8A,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,cytotoxic T lymphocyte
Lung,3,0.75,"CYB5A,C16orf89,CEACAM6,CTSE,DSTN,PIGR,WFDC2",Club,club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,3,0.75,"LTBP1,COL3A1,BGN,ITGBL1,CALD1,ASPN,COL1A1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
Lung,3,0.75,"PTPRE,GZMB,PPP1R14B,NPC2,SEC61B,TYROBP,IRF4",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
Lung,3,0.75,"KPNA2,TPX2,TYMS,STMN1,H2AFZ,UBE2C,NUSAP1",Proliferating Macrophage,,,proliferating cell
Lung,3,0.75,"UBE2C,AURKB,BIRC5,TOP2A,CENPF,H2AFV,SMC4",Proliferating NK/T,,,possible_proliferating_cell
Lung,3,0.75,"EMCN,VWF,ENPP2,POSTN,SPRY1,INHBB,SPARCL1",Bronchial Vessel,,,endothelial cell
Lung,3,0.75,"RARRES1,SCGB3A1,SLPI,SCGB1A1,SAA1,BPIFB1,MUC5B",Mucous,,,goblet cell
Lung,3,0.75,"SLCO2A1,LIFR,CPE,SELP,PRSS23,PTPRB,TGM2",Vein,,,club cell
Lung,3,0.75,"COL4A2,CHN1,LAMC3,NID1,CALD1,LAMB1,TACC1",Pericyte,pericyte,CL:0000669,pericyte
Lung,3,0.75,"CSRP1,TPM2,CALD1,DSTN,MYH11,CNN1,DES",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,3,0.75,"HEY1,FBLN5,EPAS1,PTPRB,GJA5,ARGLU1,EFNB2",Artery,,,vascular endothelial cell
Lung,3,0.75,"EDNRB,STXBP6,HPGD,TBX2,EMCN,ESAM,CYP3A5",Capillary Aerocyte,,,endothelial cell
Lung,3,0.75,"GALNT18,VAT1,WWTR1,RALA,SH3BP5,IPO7,EPAS1",Capillary Intermediate,,,unidentified cell type
Lung,3,0.75,"OSR1,CCDC71L,HAS1,CPXM1,C3,FGF7,MEDAG",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast
Lung,3,0.75,"C3,DSC3,GALNT9,SLPI,PRG4,ALDH1A3,ITLN1",Mesothelial,mesothelial cell,CL:0000077,goblet cell
Lung,3,0.75,"ITGA2B,TUBB1,PF4,CABP5,GP9,GP6,TMEM40",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",megakaryocyte
Lung,3,0.75,"CD7,LGALS1,CD2,CEBPB,CXCR4,CTSW,GNLY",Natural Killer T,,,Natural Killer (NK) cell
Lung,3,0.75,"MET,SCX,RAMP1,CLU,CNN1,FAM150A,CSRP1",Fibromyocyte,,,smooth muscle cell
Lung,3,0.75,"TXN,WFDC2,FAM3D,PSCA,AGR2,COX5A,GABRP",Goblet,goblet cell,CL:0000160,uncertain cell type
Lung,3,0.75,"ASCL3,MFSD6L,TMPRSS11E,BSND,PHGR1,ATP6V1B1,HEPACAM2",Ionocyte,ionocyte,CL:0005006,neuroendocrine cell
Lung,3,0.75,"EGR1,SCGN,NENF,SEC11C,CHGA,PCSK1N,BEX1",Neuroendocrine,neuroendocrine cell,CL:0000165,neuroendocrine cell
Lung,3,0.75,"PRB4,ZG16B,PRH2,PRB3,TESC,PHB,TCN1",Serous,serous secreting cell,CL:0000313,goblet cell
Lung,3,0.75,"HLA-DRB1,C1QC,LYZ,LAPTM5,FCER1G,C1QB,CTSZ",Macrophages,macrophage,CL:0000235,macrophage
Lung,3,0.75,"CD7,CST7,CCL4,GZMB,PRF1,GNLY,NKG7",Innate lymphoid cell NK,natural killer cell,CL:0000623,natural killer t cell
Lung,3,0.75,"MUC1,PEBP4,SLC39A8,SFTPD,NAPSA,S100A14,SFTA3",AT2,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
Lung,3,0.75,"MGP,SPARCL1,RAMP3,GNG11,CLEC14A,RAMP2,VWF",EC venous,vein endothelial cell,CL:0002543,endothelial cell
Lung,3,0.75,"CD69,CORO1A,TRBC2,CCL5,CXCR4,IL32,TRAC",T cell lineage,T cell,CL:0000084,cd8+ mem/eff t cell
Lung,3,0.75,"CLEC14A,TM4SF1,SOX17,GIMAP7,A2M,SPARCL1,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,lipofibroblast
Lung,3,0.75,"COL6A1,CALD1,COL1A2,LUM,C1S,IGFBP7,BGN",Fibroblasts,fibroblast,CL:0000057,myofibroblast cell
Lung,3,0.75,"FXYD3,TSPAN13,EMP2,CEACAM6,SFTA2,CAV1,AGER",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
Lung,3,0.75,"C11orf97,CD24,C5orf49,GSTA1,SNTN,TMEM231,RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,club cell
Lung,3,0.75,"ISG20,MS4A1,IGKC,LTB,IGHA1,CD79A,IGLC2",B cell lineage,B cell,CL:0000236,B cell
Lung,3,0.75,"WFDC2,CXCL17,MUC1,BPIFB1,PIGR,CEACAM6,KRT19",Secretory,secretory cell,CL:0000151,goblet cell
Lung,3,0.75,"S100A12,COTL1,FCER1G,LST1,FCN1,S100A9,VCAN",Monocytes,monocyte,CL:0000576,neutrophil
Lung,3,0.75,"CCL28,SEC11C,LTF,MARCKSL1,PIGR,AZGP1,SELM",Submucosal Secretory,,,goblet cell
Lung,3,0.75,"CLDN5,TM4SF1,PECAM1,EGFL7,SPARCL1,AQP1,CLEC14A",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,3,0.75,"CLDN5,PPFIBP1,TM4SF1,RAMP2,SDPR,IGFBP7,CCL21",Lymphatic EC mature,,,endothelial cell
Lung,3,0.75,"AKAP12,TCF4,GNG11,TIMP3,SDPR,TFPI,CLDN5",Lymphatic EC differentiating,,,endothelial cell
Lung,3,0.75,"HLA-DPB1,HLA-DRB1,ITGB2,CORO1A,HLA-DQA1,HLA-DPA1,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,antigen-presenting cell
Lung,3,0.75,"CALD1,GPX3,CYR61,IGFBP5,CTGF,MT1X,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast
Lung,3,0.75,"TPSAB1,HPGDS,GATA2,MS4A2,C1orf186,VWA5A,CPA3",Mast cells,mast cell,CL:0000097,mast cell
Lung,3,0.75,"IGFBP7,DES,LMOD1,NEXN,SELM,PLN,TPM2",Fibromyocytes,,,fibroblast
Lung,3,0.75,"LSM2,HMGN2,EID1,ARPC1A,HMGN1,COX20,S100A16",Lymphatic EC proliferating,,,unidentified cell type
Lung,3,0.75,"PKHD1L1,TSHZ2,MMRN1,SEMA3A,CD36,ST6GALNAC3,LDB2",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,macrophage
Lung,3,0.75,"KHDRBS2,ST6GALNAC5,NCKAP5,NTM,LIMCH1,LMO7,RAB11FIP1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Alveolar type 2 cells
Lung,3,0.75,"ANK3,SFTPC,LRRK2,MACROD2,PDE4D,AUTS2,ZNF385B",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
Lung,3,0.75,"GLIS3,RBMS3,SSBP2,XPR1,EYA2,CACHD1,KRT17",Epithelial cell (basal),basal cell,CL:0000646,unidentified cell type
Lung,3,0.75,"CDHR3,C4orf22,DNAH7,AGBL4,CFAP54,HYDIN,STK33",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,ciliated cell
Lung,3,0.75,"SCGB3A2,SFTPB,ERBB4,BMPR1B,MACROD2,KIAA1324,CDK14",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
