,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
1811,1811,1811,1811,4,Lung,0.75,"RP11-356K23.1,GENE50,GENE47,C12orf75,GSTA1,CD24,GENE67,FAM229B,GENE86,TMEM231,GENE25,RP11-295M3.4,C11orf97,GENE49,C5orf49,SNTN,GENE51",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,Club cells,CL:0000158,Endothelial cells,CL:0000115,Hepatocytes,22. Breast epithelial cells,CL:0000182,CL:0002327,hepatocyte,mammary gland epithelial cell,club cell,endothelial cell,-1,-1,-1,-1
1812,1812,1812,1812,4,Lung,0.75,"GENE39,GENE7,LTB,MS4A1,IGHA1,GENE25,IGLC2,CD79A,GENE53,TSC22D3,IGKC,GENE38,GENE20,GENE64,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B cells,CL:0000236,Immune cells,CL:0000738,B Cells,23. B cells,CL:0000236,CL:0000236,b cell,b cell,b cell,leukocyte,0,0,0,4
1813,1813,1813,1813,4,Lung,0.75,"CXCL17,GENE39,GENE9,GENE94,KRT7,BPIFB1,GENE87,CEACAM6,TACSTD2,GENE88,PIGR,GENE49,MUC1,WFDC2,GENE14,CP,KRT19",Secretory,secretory cell,CL:0000151,Ciliated cells,CL:0000064,Clara cells,CL:0000158,Basal Cells of Bronchial Epithelium,24. Epithelial cells,CL:1000312,CL:0000066,bronchial goblet cell,epithelial cell,ciliated cell,club cell,-1,12,-1,-1
1814,1814,1814,1814,4,Lung,0.75,"CD14,GENE100,S100A9,S100A8,GENE98,FCER1G,GENE67,GENE66,GENE79,COTL1,GENE95,LST1,AIF1,VCAN,S100A12,FCN1,GENE55",Monocytes,monocyte,CL:0000576,Monocytes,CL:0000576,Macrophages,CL:0000235,Monocytes,25. Monocytes,CL:0000576,CL:0000576,monocyte,monocyte,monocyte,macrophage,0,0,0,2
1815,1815,1815,1815,4,Lung,0.75,"TCN1,GENE82,GENE47,SELM,MARCKSL1,GENE78,GENE40,LTF,GENE92,ZG16B,GENE84,PIP,PIGR,CCL28,GENE53,SEC11C,AZGP1",Submucosal Secretory,,,Goblet cells,CL:0000160,Epithelial cells,CL:0000066,Colon epithelial cells,1. Paneth cells,CL:0011108,CL:0000510,colon epithelial cell,paneth cell,goblet cell,epithelial cell,-1,-1,-1,-1
1816,1816,1816,1816,4,Lung,0.75,"CLEC14A,TM4SF1,CLDN5,AQP1,GENE66,CDH5,GENE40,GENE44,GENE10,IFI27,GENE57,GENE89,GENE46,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,Mesothelial cells,CL:0000077,Endothelial cells,2. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,mesothelial cell,2,2,2,-1
1817,1817,1817,1817,4,Lung,0.75,"SDPR,GENE82,TM4SF1,CLDN5,GENE61,CCL21,RAMP2,ECSCR,GENE25,GENE93,IGFBP7,MMRN1,GNG11,GENE35,PPFIBP1,GENE74,GENE14",Lymphatic EC mature,,,Endothelial cells,CL:0000115,Fibroblasts,CL:0000057,Endothelial cells,3. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,fibroblast,-1,-1,-1,-1
1818,1818,1818,1818,4,Lung,0.75,"TFF3,SDPR,AKAP12,CLDN5,TCF4,GENE66,CCL21,IGFBP7,GENE60,GNG11,GENE56,GENE17,TIMP3,GENE6,GENE20,GENE97,TFPI",Lymphatic EC differentiating,,,Endothelial cells,CL:0000115,CD4+ T cells,CL:0000492,Endothelial cells,4. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,CD4-positive helper T cell,-1,-1,-1,-1
1819,1819,1819,1819,4,Lung,0.75,"GENE22,GENE94,GENE100,HLA-DQB1,GENE79,HLA-DQA1,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,GENE84,HLA-DRB1,HLA-DMA,CORO1A,GENE31,MS4A6A,GENE41",Dendritic cells,dendritic cell,CL:0000451,Dendritic cells,CL:0000451,Neutrophils,CL:0000775,B cells,5. B cells,CL:0000236,CL:0000236,b cell,b cell,dendritic cell,neutrophil,-1,-1,0,-1
1820,1820,1820,1820,4,Lung,0.75,"GENE19,CALD1,TPM2,CYR61,GENE58,MT1X,GENE18,GENE24,GENE87,CTGF,GPX3,GENE71,IGFBP5,SPARCL1,PRELP,GENE16,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,Smooth Muscle Cells,CL:0000192,Alveolar Epithelial Cells,CL:0000322,Fibroblasts,6. Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,smooth muscle cell,pulmonary alveolar epithelial cell,-1,-1,-1,-1
1821,1821,1821,1821,4,Lung,0.75,"KIT,GENE62,VWA5A,C1orf186,CPA3,HPGDS,GENE35,GENE67,GENE89,GENE69,GENE80,MS4A2,TPSB2,GENE84,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,Mast Cells,CL:0000097,Mast Cells,CL:0000097,Mast cells,7. Mast cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,0,0,0,0
1822,1822,1822,1822,4,Lung,0.75,"GENE94,TPM2,PLN,GENE66,LMOD1,GENE86,GENE24,IGFBP7,GENE56,FLNA,GENE88,GENE77,ACTG2,SELM,PPP1R14A,DES,NEXN",Fibromyocytes,,,Smooth Muscle Cells,CL:0000192,Smooth Muscle Cells,CL:0000192,Smooth muscle cells,8. Smooth muscle cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,-1,-1,-1,-1
1823,1823,1823,1823,4,Lung,0.75,"GENE22,GENE94,S100A16,EID1,GENE41,GENE98,ECSCR,MARCKS,TUBB,ARPC1A,GENE17,HMGN1,GENE42,LSM2,COX20,GENE97,HMGN2",Lymphatic EC proliferating,,,Epithelial Cells,CL:0000066,Inflammatory Cells,CL:0009002,Epithelial cells,9. Endothelial cells,CL:0000066,CL:0000115,epithelial cell,endothelial cell,epithelial cell,inflammatory cell,-1,-1,-1,-1
1824,1824,1824,1824,4,Lung,0.75,"FBXL7,GENE9,LDB2,TSHZ2,GENE27,GENE33,GENE18,GENE11,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE2,GENE75",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Airway Epithelial Cells,CL:0002368,Endothelial Cells,CL:0000115,Neurons,10. Endothelial cells,CL:0000540,CL:0000115,neuron,endothelial cell,respiratory epithelial cell,endothelial cell,10,2,-1,2
1825,1825,1825,1825,4,Lung,0.75,"LMO7,RAB11FIP1,GENE3,GENE89,EMP2,GENE15,GENE12,GENE80,GENE14,NCKAP5,GENE42,RBMS3,NTM,KHDRBS2,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Epithelial cells,11. Epithelial cells,CL:0000066,CL:0000066,epithelial cell,epithelial cell,fibroblast,fibroblast,3,3,9,9
1826,1826,1826,1826,4,Lung,0.75,"MACROD2,AUTS2,GENE8,GENE66,GENE72,ZNF385B,GENE74,SFTPC,ABCA3,ANK3,GENE46,GENE29,GENE23,SFTPB,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,Neurons,CL:0000540,Ciliated Cells,CL:0000064,Alveolar cells,12. Alveolar type II cells,CL:0000583,CL:0002063,alveolar macrophage,pulmonary alveolar type 2 cell,neuron,ciliated cell,-1,0,9,10
1827,1827,1827,1827,4,Lung,0.75,"GENE45,MACROD2,GLIS3,GENE63,GENE8,GENE79,GENE66,SSBP2,EYA2,GENE12,GENE88,XPR1,RBMS3,KRT17,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,Neurons,CL:0000540,Club Cells,CL:0000158,Epithelial cells,13. Basal keratinocytes,CL:0000066,CL:0000312,epithelial cell,keratinocyte,neuron,club cell,17,-1,13,-1
1828,1828,1828,1828,4,Lung,0.75,"GENE82,TMEM232,DNAH12,CFAP54,DNAH7,STK33,GENE15,HYDIN,GENE9,GENE68,GENE86,CDHR3,GENE92,LRRIQ1,AGBL4,GENE31,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,Ciliated Cells,CL:0000064,Bronchial Epithelial Cells,CL:0002328,Ciliated cells,14. Ciliated cells,CL:0000064,CL:0000064,ciliated cell,ciliated cell,ciliated cell,bronchial epithelial cell,1,1,1,-1
1829,1829,1829,1829,4,Lung,0.75,"NEDD4L,MACROD2,SCGB3A2,CDK14,GENE3,GENE89,GENE68,GENE33,MECOM,GENE95,BMPR1B,KIAA1217,SFTPB,GENE43,ERBB4,GENE16,KIAA1324",Epithelial cell (club),club cell,CL:0000158,Club Cells,CL:0000158,Surfactant-producing Cells,CL:0000157,Alveolar cells,15. Alveolar type II cells,CL:0000583,CL:0002063,alveolar macrophage,pulmonary alveolar type 2 cell,club cell,surfactant secreting cell,-1,-1,0,1
1830,1830,1830,1830,4,Lung,0.75,"PDK1,FBXW7,GENE78,ARHGAP15,PLCG2,GENE33,ST6GAL1,GENE5,GENE60,GENE31,CREB3L2,FCHSD2,RALGPS2,GENE20,DENND5B,MEF2C,GENE83",Immune (B cell),B cell,CL:0000236,Epithelial cells,CL:0000066,Type II Alveolar Cells,CL:0002063,T cells,16. Leukocytes,CL:0000084,CL:0000738,t cell,leukocyte,epithelial cell,pulmonary alveolar type 2 cell,-1,4,13,-1
1831,1831,1831,1831,4,Lung,0.75,"PIP4K2A,B2M,FYN,GENE98,GENE72,GENE86,GENE87,GENE95,GENE32,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,GENE23,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,T-lymphocytes,CL:0000084,Macrophages,CL:0000235,T cells,17. T cells,CL:0000084,CL:0000084,t cell,t cell,T cell,macrophage,-1,-1,-1,-1
1832,1832,1832,1832,4,Lung,0.75,"GENE78,GENE35,FYN,FKBP5,GENE33,GENE25,GENE69,BCL2,PTPRC,GENE4,SYTL3,ARHGAP15,GENE38,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,T cells,18. T cells,CL:0000084,CL:0000084,t cell,t cell,fibroblast,fibroblast,0,0,-1,-1
1833,1833,1833,1833,4,Lung,0.75,"ZEB2,DOCK8,GENE58,FMNL2,GPCPD1,SLC11A1,PPARG,GENE61,RNF149,GENE24,GENE56,TFRC,PLXDC2,MSR1,GENE23,GENE16,GENE2",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,Macrophages,CL:0000235,Endothelial Cells,CL:0000115,Macrophages,19. Macrophages,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,endothelial cell,2,2,2,14
1834,1834,1834,1834,4,Lung,0.75,"GENE82,KIT,GENE13,SAMSN1,GENE30,IL18R1,FER,GENE11,GENE80,GENE17,TPSB2,SLC24A3,SRGN,SYTL3,ARHGAP15,TPSAB1,GENE99",Immune (mast cell),mast cell,CL:0000097,Mast cells,CL:0000097,Mesenchymal Stem Cells,CL:0000134,Mast cells,20. Mast cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mesenchymal stem cell,0,0,0,5
1835,1835,1835,1835,4,Lung,0.75,"CALD1,GENE66,GENE36,INPP4B,GENE12,GENE56,CACNA1C,TPM1,GENE80,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11,GENE16,GENE59",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",Smooth muscle cells,CL:0000192,Neutrophils,CL:0000775,Smooth muscle cells,21. Smooth muscle cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,neutrophil,-1,-1,-1,-1
1836,1836,1836,1836,4,Lung,0.75,"PTPRB,PTPRM,GENE9,GENE78,TCF4,LDB2,GENE89,GENE81,GENE14,ST6GALNAC3,GENE28,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7,GENE97",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,Endothelial cells,CL:0000115,Monocytes,CL:0000576,Endothelial cells,22. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,monocyte,1,1,1,-1
1837,1837,1837,1837,4,Lung,0.75,"GENE52,GENE78,GENE72,LAMA2,GENE18,GENE11,PLEKHH2,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,GENE23,SLIT2,PLXDC2,GENE31",Fibroblast,fibroblast,CL:0000057,Mesothelial cells,CL:0000077,Bronchial Epithelium,CL:1000312,Neurons,23. Neurons,CL:0000540,CL:0000540,neuron,neuron,mesothelial cell,bronchial goblet cell,10,10,-1,-1
1838,1838,1838,1838,4,Lung,0.75,"TBXAS1,ZEB2,GENE58,GENE27,FKBP5,GENE40,CD74,PIK3R5,CHST11,GENE17,GENE24,SRGN,GENE49,GENE85,PLXDC2,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",Dendritic cells,CL:0000451,Immune Cells,CL:0000738,Macrophages,24. Fibroblasts,CL:0000235,CL:0000057,macrophage,fibroblast,dendritic cell,leukocyte,-1,-1,-1,-1
1839,1839,1839,1839,4,Lung,0.75,"GENE9,GENE39,GENE66,PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE33,GENE87,PLIN1,FOXO1,EBF1,G0S2,ACSL1,GENE97,GENE16",Adipocyte,fat cell,CL:0000136,Adipocytes,CL:0000136,Immature Myeloid Cells,CL:0000840,Adipocytes,25. Adipocytes,CL:0000136,CL:0000136,adipocyte,adipocyte,adipocyte,immature conventional dendritic cell,0,0,0,-1
1840,1840,1840,1840,4,Lung,0.75,"GENE94,AGER,EMP2,GENE24,GENE5,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,Alveolar Type I Cells,CL:0002062,Endothelial cells,CL:0000115,Alveolar Type 1 Cells,Fibroblasts,CL:0002062,CL:0000057,pulmonary alveolar type 1 cell,fibroblast,pulmonary alveolar type 1 cell,endothelial cell,0,9,0,16
1841,1841,1841,1841,4,Lung,0.75,"GENE1,NKX2-1,SLC34A2,LAMP3,SFTPC,SFTPB,GENE43,GENE16",Alveolar Type II,type II pneumocyte,CL:0002063,Alveolar Type II Cells,CL:0002063,"Alveolar type II cells, Club cells",CL:0002063,Alveolar Type 2 Cells,Alveolar Epithelial Type II Cells,CL:0002063,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,0,0,0,0
1842,1842,1842,1842,4,Lung,0.75,"GENE82,GENE54,CD24,CXCR3,CD1c,GENE81,FAS,CR2",B cell_memory,memory B cell,CL:0000787,Dendritic Cells,CL:0000451,"Dendritic cells, T cells",CL:0000916,Dendritic Cells,Dendritic Cells,CL:0000451,CL:0000451,dendritic cell,dendritic cell,dendritic cell,dendritic epidermal T cell,-1,-1,-1,-1
1843,1843,1843,1843,4,Lung,0.75,"GENE26,GENE7,GENE94,GENE39,TUBA1A,HYDIN,GENE93,FAM92B,GENE34,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,Ciliated Cells,CL:0000064,Ciliated epithelial cells,CL:0000067,Ciliated Cells,Ciliated Epithelial Cells,CL:0000064,CL:0000067,ciliated cell,ciliated epithelial cell,ciliated cell,ciliated epithelial cell,1,0,1,0
1844,1844,1844,1844,4,Lung,0.75,"GENE58,SCGB3A2,GENE63,SCGB1A1,GENE5,BPIFA1,GENE83,SCGB3A1,SLPI,MUC5B,GENE53,CYP2F2",Club Epithelial,club cell,CL:0000158,Club Cells,CL:0000158,"Clara cells, Goblet cells",CL:0002370,Club Cells,Club Cells,CL:0000158,CL:0000158,club cell,club cell,club cell,respiratory goblet cell,0,0,0,-1
1845,1845,1845,1845,4,Lung,0.75,"GENE9,GENE30,GENE98,GENE90,GENE40,GENE68,GENE86,NEGR1,COL4A1,GENE77,GENE16,GENE58,GENE63,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE64,GENE22,HGF,COL18A1,COL6A3,GENE80,FBLN1,DCN,GENE49,GENE2,SLIT2,FN1,GENE14,DDR2,CCN2,IGFBP3,COL6A6,GENE37,IL6,COL3A1,COL6A1,COL1A2,COL6A2",Fibroblast,fibroblast,CL:0000057,Unknown,CL:0000747,"Basal cells, Club cells",CL:0000158,Fibroblasts,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,cyanophore,club cell,0,0,-1,-1
1846,1846,1846,1846,4,Lung,0.75,"GENE9,RELN,GENE19,FLT4,CCL21,GENE11,MMRN1,PROX1,LYVE1,GENE14",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic Endothelial Cells,CL:0002138,"Macrophages, Dendritic cells, T cells",CL:0000916,Lymphatic Endothelial Cells,Lymphatic Endothelial Cells,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,dendritic epidermal T cell,0,0,0,-1
1847,1847,1847,1847,4,Lung,0.75,"GENE30,LYZ,GENE40,C1QA,GENE86,GENE32,GENE88,PTPRC,LYVE1,CD68,MSR1,GENE63,SLC11A1,MERTK,GENE12,CPM,CD163,MS4A6A,GENE47,GENE65,RBPJ,MS4A4A,CD74,GENE87,GENE5,CD36,GENE2,GENE59,GENE37,MR1,CSF1R,MRC1,GENE73",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,Mast cells,CL:0000097,Macrophages,Macrophages,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,mast cell,0,0,0,-1
1848,1848,1848,1848,4,Lung,0.75,"KIT,GENE63,HDC,GENE95,TPSB2,CD69,FCER1A,TPSAB1,GENE97,GENE83",Mast Cell,mast cell,CL:0000097,Mast Cells,CL:0000097,"Smooth muscle cells, Endothelial cells",CL:0000192,Mast Cells,Mast Cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,smooth muscle cell,0,0,0,-1
1849,1849,1849,1849,4,Lung,0.75,"MYO1B,CSPG4,GENE86,GENE14,MCAM,GENE17,GENE87,GENE71,ACTA2,GENE74,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,Pericytes,CL:0000669,"Fibroblasts, Macrophages",CL:0000235,Pericytes,Smooth Muscle Cells,CL:0000669,CL:0000192,pericyte,smooth muscle cell,pericyte,macrophage,0,-1,0,-1
1850,1850,1850,1850,4,Lung,0.75,"GENE1,MYOCD,GENE30,SMTN,ACTG2,GUCY1A3,GENE16,GENE41,GENE63,PALLD,ACTN1,VCL,GENE20,DES,GENE35,GENE71,GUCY1B3,ACTA2,CNN1,TAGLN,GENE59,GENE81,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,Bronchial epithelial cells,CL:0002328,Smooth Muscle Cells,Smooth Muscle Cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,bronchial epithelial cell,0,0,0,-1
1851,1851,1851,1851,4,Lung,0.75,"GENE98,PTPRC,GENE77,GENE51,SKAP1,GENE63,NKG7,TRAC,IL7R,CD3E,CD96,THEMIS,CD3D,GENE52,GENE57,CD3G,GENE80,CD247,TRBC1,GENE72,GENE60,CD69",T cell,T cell,CL:0000084,Immune Cells,CL:0000738,Myofibroblasts / Smooth muscle cells,CL:0000192,T Cells,T Cells,CL:0000084,CL:0000084,t cell,t cell,leukocyte,smooth muscle cell,0,0,3,-1
1852,1852,1852,1852,4,Lung,0.75,"PTPRB,GENE47,GENE8,CLDN5,GENE59,NOSTRIN,LDB2,GENE36,RAMP3,VWF,GENE83,GENE76,EPHB4,PECAM1,BACE2,GENE20,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,Endothelial Cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,1,1,1,1
1853,1853,1853,1853,4,Lung,0.75,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,Alveolar Epithelial Cells,CL:0000322,Alveolar type II cells,CL:0002063,Alveolar Type 2 Cells,Type II Pneumocytes,CL:0002063,GO:0060510,pulmonary alveolar type 2 cell,type II pneumocyte differentiation,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,0,-1,1,0
1854,1854,1854,1854,4,Lung,0.75,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,Neutrophils,CL:0000775,Infiltrating immune cells,CL:0000738,Neutrophils,Neutrophils,CL:0000775,CL:0000775,neutrophil,neutrophil,neutrophil,leukocyte,0,0,0,3
1855,1855,1855,1855,4,Lung,0.75,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,CD4+ T cells,CL:0000492,T Cells,T Helper Cells,CL:0000084,CL:0000912,t cell,helper T cell,t cell,CD4-positive helper T cell,3,-1,3,-1
1856,1856,1856,1856,4,Lung,0.75,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,NK T Cells,CL:0000814,CD8+ T cells,CL:0000625,Cytotoxic T Cells,Cytotoxic T Cells,CL:0000910,CL:0000910,cytotoxic t cell,cytotoxic t cell,mature NK T cell,"CD8-positive, alpha-beta T cell",-1,-1,-1,0
1857,1857,1857,1857,4,Lung,0.75,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,Natural Killer Cells,CL:0000623,Natural killer cells,CL:0000623,Natural Killer Cells,Cytotoxic T Cells,CL:0000623,CL:0000910,natural killer cell,cytotoxic t cell,natural killer cell,natural killer cell,0,-1,0,0
1858,1858,1858,1858,4,Lung,0.75,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,Fibroblasts,CL:0000057,Macrophages,CL:0000235,Endothelial Cells,Fibroblasts,CL:0000115,CL:0000057,endothelial cell,fibroblast,fibroblast,macrophage,-1,-1,-1,-1
1859,1859,1859,1859,4,Lung,0.75,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Vascular Smooth Muscle Cells,CL:0000359,Fibroblasts / Interstitial cells,CL:4030031,Smooth Muscle Cells,Smooth Muscle Cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,vascular associated smooth muscle cell,interstitial cell,0,0,-1,-1
1860,1860,1860,1860,4,Lung,0.75,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,Fibroblast,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1
1861,1861,1861,1861,4,Lung,0.75,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,Macrophage,CL:0000235,Macrophages,CL:0000235,Macrophages,Macrophages,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,macrophage,0,0,0,0
1862,1862,1862,1862,4,Lung,0.75,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,Mast cell,CL:0000097,Mast cells,CL:0000097,Basophils,Mast Cells,CL:0000767,CL:0000097,basophil,mast cell,mast cell,mast cell,0,-1,-1,-1
1863,1863,1863,1863,4,Lung,0.75,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,Monocyte,CL:0000576,Neutrophils,CL:0000775,Macrophages,Myeloid Cells,CL:0000235,CL:0000763,macrophage,myeloid cell,monocyte,neutrophil,3,3,1,-1
1864,1864,1864,1864,4,Lung,0.75,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,Endothelial cell,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,Endothelial Cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3
1865,1865,1865,1865,4,Lung,0.75,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,Ciliated cell,CL:0000064,Unknown/non-specific,CL:0000875,1. Ependymal cells,Ciliated epithelial cells,CL:0000065,CL:0000067,ependymal cell,ciliated epithelial cell,ciliated cell,non-classical monocyte,-1,1,2,-1
1866,1866,1866,1866,4,Lung,0.75,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,Dendritic cell,CL:0000451,Dendritic cells,CL:0000451,2. Dendritic cells,Dendritic cells,CL:0000451,CL:0000451,dendritic cell,dendritic cell,dendritic cell,dendritic cell,0,0,0,0
1867,1867,1867,1867,4,Lung,0.75,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,Club cell,CL:0000158,Clara cells,CL:0000158,3. Club cells,Club cells,CL:0000158,CL:0000158,club cell,club cell,club cell,club cell,-1,-1,-1,-1
1868,1868,1868,1868,4,Lung,0.75,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,Basal epithelial cell,CL:0002236,Squamous epithelial cells,CL:0000076,4. Epithelial cells,Basal cells,CL:0000066,CL:0000646,epithelial cell,basal cell,basal epithelial cell of prostatic duct,squamous epithelial cell,17,0,-1,-1
1869,1869,1869,1869,4,Lung,0.75,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,Plasma cell,CL:0000786,B cells,CL:0000236,5. Plasma cells,Plasma cells,CL:0000786,CL:0000786,plasma cell,plasma cell,plasma cell,b cell,0,0,0,4
